Names,variety,country_norm,color_simple,price_level,abv_level,ABV,Ratings,Ratingsnum,Prices
00 Wines VGW Chardonnay 2017,"""Chardonnay",US,White Wine,high,medium,,0.0,0,79.99
00 Wines VGR Pinot Noir 2019,"""Pinot Noir",US,Red Wine,high,medium,,0.0,0,99.99
00 Wines EGW Chardonnay 2019,"""Chardonnay",US,White Wine,high,medium,,0.0,0,115.99
100 Nails Ranch Pinot Noir 2019,"""Pinot Noir",US,Red Wine,low,medium,,0.0,0,16.99
100 Nails Ranch Chardonnay 2019,"""Chardonnay",US,White Wine,low,medium,,0.0,0,16.99
100 Nails Ranch Cabernet Sauvignon 2018,"""Cabernet Sauvignon",US,Red Wine,low,medium,,3.3,9,19.99
1000 Stories Bourbon Barrel Aged Prospectors' Proof Cabernet Sauvignon 2020,Cabernet Sauvignon,US,Red Wine,low,medium,0.0,0.0,0,19.99
1000 Stories American Barrel Aged Pinot Noir 2020,Pinot Noir,US,Red Wine,low,high,14.5,0.0,0,17.99
1000 Stories Bourbon Barrel Aged Zinfandel 2020,Zinfandel,US,Red Wine,low,high,15.5,3.8,11,18.99
1000 Stories Bourbon Barrel Aged Chardonnay 2019,Chardonnay,US,White Wine,low,high,14.4,4.4,10,19.99
1000 Stories Bourbon Barrel Aged Prospectors' Proof Cabernet Sauvignon 2018,Cabernet Sauvignon,US,Red Wine,low,high,14.9,0.0,0,18.99
1000 Stories Bourbon Barrel Aged Gold Rush Red 2018,Other Red Blends,US,Red Wine,low,high,14.5,3.7,12,19.99
12 Linajes Reserva 2012,"""Tempranillo",Spain,Red Wine,medium,medium,,3.9,33,39.99
12 Linajes Crianza 2014,"""Tempranillo",Spain,Red Wine,medium,medium,,3.9,17,31.99
12C Wines Beckstoffer Vineyard Georges III Cabernet Sauvignon 2015,"""Cabernet Sauvignon",US,Red Wine,high,medium,,0.0,0,119.97
12C Wines Beckstoffer Vineyard Georges III Cabernet Sauvignon 2014,"""Cabernet Sauvignon",US,Red Wine,high,medium,,0.0,0,119.97
13 Celsius Pinot Grigio 2020,"""Pinot Gris/Grigio",US,White Wine,low,medium,,0.0,0,12.99
13 Celsius Sauvignon Blanc 2021,"""Sauvignon Blanc",US,White Wine,low,medium,,0.0,0,18.99
14 Hands Pinot Grigio 2021,Pinot Gris/Grigio,US,White Wine,low,medium,12.5,0.0,0,12.99
14 Hands Hot to Trot Red Blend 2020,"""Other Red Blends",US,Red Wine,low,medium,,0.0,0,10.99
14 Hands Merlot 2018,"""Merlot",US,Red Wine,low,medium,,3.8,11,11.99
14 Hands Cabernet Sauvignon 2018,"""Cabernet Sauvignon",US,Red Wine,low,medium,,3.7,31,11.99
14 Hands Run Wild Juicy Red Blend 2019,"""Rhone Red Blends",US,Red Wine,low,medium,,0.0,0,12.99
14 Hands Stampede Red Blend 2019,"""Other Red Blends",US,Red Wine,low,medium,,0.0,0,12.99
1849 Anonymous Napa Valley Red 2017,"""Other Red Blends",US,Red Wine,medium,medium,,3.9,9,42.99
1849 Triumph Red Blend 2017,"""Other Red Blends",US,Red Wine,medium,medium,,0.0,0,45.99
